Length Scale	Noise Variance	 MSE
0.001	0.001	0.7560037113416156
0.001	0.008408964152537146	0.6874279349095668
0.001	0.07071067811865475	0.7336097146124848
0.001	0.5946035575013605	0.8266697146621098
0.001	5.000000000000001	1.1501688407500508
0.001291549665014884	0.001	0.6624008918221554
0.001291549665014884	0.008408964152537146	0.6292914060234818
0.001291549665014884	0.07071067811865475	0.6684420512230603
0.001291549665014884	0.5946035575013605	0.7578553630458651
0.001291549665014884	5.000000000000001	1.1352341332063927
0.0016681005372000592	0.001	0.54515217821071
0.0016681005372000592	0.008408964152537146	0.5605369354262342
0.0016681005372000592	0.07071067811865475	0.569896577494383
0.0016681005372000592	0.5946035575013605	0.6876179895585876
0.0016681005372000592	5.000000000000001	1.1600396713657897
0.0021544346900318843	0.001	0.4642268579949744
0.0021544346900318843	0.008408964152537146	0.4531478946254815
0.0021544346900318843	0.07071067811865475	0.470409578855936
0.0021544346900318843	0.5946035575013605	0.6706088537120322
0.0021544346900318843	5.000000000000001	1.1113255113153904
0.0027825594022071257	0.001	0.3791308656183378
0.0027825594022071257	0.008408964152537146	0.4015264252651517
0.0027825594022071257	0.07071067811865475	0.39485822113190094
0.0027825594022071257	0.5946035575013605	0.5603735890243645
0.0027825594022071257	5.000000000000001	1.140411496542537
0.003593813663804626	0.001	0.32585659791115484
0.003593813663804626	0.008408964152537146	0.32176783033685397
0.003593813663804626	0.07071067811865475	0.33635190499096956
0.003593813663804626	0.5946035575013605	0.5185877892603468
0.003593813663804626	5.000000000000001	1.1441642600479263
0.004641588833612777	0.001	0.28587228170757617
0.004641588833612777	0.008408964152537146	0.27477282976101314
0.004641588833612777	0.07071067811865475	0.28947172769969715
0.004641588833612777	0.5946035575013605	0.49187651112495184
0.004641588833612777	5.000000000000001	1.0476458115284206
0.005994842503189409	0.001	0.2731750166526796
0.005994842503189409	0.008408964152537146	0.250453049530021
0.005994842503189409	0.07071067811865475	0.27457868351011616
0.005994842503189409	0.5946035575013605	0.42217564498259047
0.005994842503189409	5.000000000000001	1.0329916843572045
0.007742636826811269	0.001	0.28433595795048433
0.007742636826811269	0.008408964152537146	0.2524164997612372
0.007742636826811269	0.07071067811865475	0.24917126035753692
0.007742636826811269	0.5946035575013605	0.3839389547553773
0.007742636826811269	5.000000000000001	1.0415964793252672
0.01	0.001	0.31132428287685027
0.01	0.008408964152537146	0.23753136792922788
0.01	0.07071067811865475	0.2397461977548706
0.01	0.5946035575013605	0.3163826427244337
0.01	5.000000000000001	0.8989910937984114
